a7-56 83215
56 57 2
57 60 2
58 88 5
103 104 2
60 92 2
61 66 3
62 81 6
63 84 4
107 74 0
65 64 0
66 89 3
67 63 4
70 76 1
69 90 1
76 20 1
71 99 5
72 68 1
73 80 1
74 51 0
48 56 2
14 113 1
93 87 4
78 112 0
79 78 0
80 69 1
54 83 6
82 73 1
83 102 6
77 93 4
85 86 2
86 106 2
37 116 4
88 71 5
89 115 3
90 91 1
91 97 1
92 85 2
87 31 4
43 117 5
95 62 6
46 118 6
97 98 1
98 72 1
94 38 5
49 79 0
101 95 6
96 40 6
104 75 2
75 19 2
105 44 0
106 114 2
18 100 0
64 107 0
109 108 0
110 25 6
111 96 6
19 0 2
0 1 2
124 2 5
121 103 2
1 4 2
122 5 3
39 6 6
11 7 4
9 52 0
108 9 0
5 10 3
123 11 4
16 70 1
24 13 1
68 12 1
32 15 5
42 16 1
26 17 1
8 18 0
47 48 2
12 14 1
84 28 4
23 22 0
44 23 0
17 24 1
6 110 6
120 26 1
25 27 6
7 77 4
36 29 2
29 30 2
21 37 4
2 32 5
10 33 3
13 34 1
34 35 1
4 36 2
28 21 4
99 43 5
45 39 6
55 46 6
35 41 1
41 42 1
15 94 5
51 105 0
125 45 6
27 111 6
59 3 2
3 47 2
100 49 0
30 50 2
52 8 0
53 65 0
119 53 0
81 54 6
102 55 6
22 119 0
20 120 1
50 121 2
33 122 3
31 123 4
38 124 5
40 125 6
112 109 0
113 82 1
114 59 2
115 61 3
116 67 4
117 58 5
118 101 6
